Season,Name,Invention_1,Mystery_1,Immunity_1,Elimination_1,Invention_2,Mystery_2,Immunity_2,Elimination_2,Invention_3,Mystery_3,Immunity_3,Elimination_3,Invention_4,Mystery_4,Immunity_4,Elimination_4,Invention_5,Mystery_5,Immunity_5,Elimination_5,Invention_6,Mystery_6,Immunity_6,Elimination_6,Invention_7,Mystery_7,Immunity_7,Elimination_7,Invention_8,Mystery_8,Immunity_8,Elimination_8,Invention_9,Mystery_9,Immunity_9,Elimination_9,Invention_10,Mystery_10,Immunity_10,Elimination_10,Invention_11,Mystery_11,Immunity_11,Elimination_11,Invention_12,Mystery_12,Immunity_12,Elimination_12,Invention_13,Mystery_13,Immunity_13,Elimination_13,Invention_14,Mystery_14,Immunity_14,Elimination_14,Invention_15,Mystery_15,Immunity_15,Elimination_15,Invention_16,Mystery_16,Immunity_16,Elimination_16,Invention_17,Mystery_17,Immunity_17,Elimination_17,Label
4,Debra,None,IN,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Lose,IN,Team 2nd,None,Team Win,IN,IN,None,Team Lose,IN,IN,None,Team Lose,IN,IN,None,Team Lose,IN,None,None,Team Lose,IN,None,None,Btm,Elim,IN,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Amina,None,IN,None,Team Win,IN,IN,Lose,Team Lose,IN,IN,Lose,Team Lose,IN,Team Win,Lose,Team Win,IN,IN,None,Team Lose,IN,IN,Lose,Team Lose,Btm,IN,None,Team Lose,Btm,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Jules,None,IN,None,Btm,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,Team Lose,None,Team Lose,Win,IN,Lose,Team Win,IN,IN,None,Team Win,IN,IN,Lose,Btm,IN,None,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Andrew,None,IN,None,Team Win,IN,IN,None,Team Lose,Btm,IN,None,Team Lose,IN,Team 3rd,None,Team Lose,Btm,IN,None,Team Win,IN,IN,None,Team Win,Btm,IN,None,Team Win,Btm,None,None,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Tregan,None,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,Team Lose,None,Team Lose,Win,IN,Lose,Team Lose,IN,IN,None,Team Lose,Win,IN,Lose,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Sam,None,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Win,Win,Team Win,None,Btm,IN,IN,None,Team Lose,IN,IN,None,Team Win,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Emma,None,IN,Lose,Team Lose,IN,IN,None,Team Lose,IN,IN,None,Team Win,IN,Team Lose,None,Team Lose,IN,IN,None,Team Lose,Btm,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Filippo,None,IN,None,Team Lose,IN,IN,None,Btm,IN,IN,None,Team Win,IN,Team 3rd,None,Team Win,IN,IN,None,Team Lose,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Mario,None,IN,None,Team Win,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,Team 3rd,None,Team Win,IN,IN,None,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
4,Dalvinder,None,IN,None,Team Lose,IN,IN,None,Team Win,IN,IN,None,Team Lose,IN,Team 3rd,None,Team Lose,Btm,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,Elim,None,None,None,None,None,None,None,None,Elim
